,Name,ICAO,Callsign,Country,Active
0,Unknown,,\N,\N,Y
1,Private flight,,,,Y
2,135 Airways,GNL,GENERAL,United States,N
3,1Time Airline,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,WYT,,United Kingdom,N
5,213 Flight Unit,TFU,,Russia,N
6,223 Flight Unit State Airline,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,SEC,SECUREX,United States,N
10,40-Mile Air,MLA,MILE-AIR,United States,Y
11,4D Air,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,THD,DONUT,Canada,N
13,Ansett Australia,AAA,ANSETT,Australia,Y
14,Abacus International,,,Singapore,Y
15,Abelag Aviation,AAB,ABG,Belgium,N
16,Army Air Corps,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,SII,ASEISA,Mexico,N
19,Aero Biniza,BZS,BINIZA,Mexico,N
20,Aero Albatros,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,AAH,ALOHA,United States,Y
23,Alaska Island Air,AAK,ALASKA ISLAND,United States,N
24,American Airlines,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,AAU,AUSTASIA,Australia,N
31,Astro Air International,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,AFU,,Gambia,N
34,Afric'air Express,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,AAZ,ANGUS,Canada,N
37,Artem-Avia,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,ABE,ABAN,Iran,n
40,Aerial Oy,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,TUS,ABSA Cargo,Brazil,Y
43,Abaet,ABJ,Abaet,Brazil,N
44,Alberta Citylink,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,ABU,AEROBUENO,Colombia,N
47,Aerocenter,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,ABV,ANTRAK,Ghana,N
49,Airborne Express,ABX,ABEX,United States,N
50,ABX Air,ABX,ABEX,United States,N
51,ATA Brasil,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,ACC,,United Kingdom,N
53,Academy Airlines,ACD,ACADEMY,United States,N
